formant,condition,count,mean,median,std
F1,meta,3666,140.2166185975394,105.30618040795476,123.87961907123598
F1,nvidia,3666,166.047655096971,126.58725558144275,144.29671634491083
F1,orig_mri,3666,147.98791319890336,114.39113152293382,115.9639923524707
F2,meta,3666,308.27299083202143,219.1846821298485,270.45866512274915
F2,nvidia,3666,301.40014863050993,219.15809661350994,261.69893490964307
F2,orig_mri,3666,283.14089846592196,204.9922561547912,245.02380032660088
F3,meta,3666,398.65944335120383,287.1101382016842,346.75068023340583
F3,nvidia,3666,393.36442092791333,271.85447268059903,362.51591775169493
F3,orig_mri,3666,381.48051070206844,286.6374442777207,328.2398607475005
