speaker,recording,vowel_id,pre_word,word,fol_word,raw_label,phoneme,in_word_index,condition,formant,rmse_hz
F1,usctimit_f1_001_005,0-0-2-0,was,easy,for,iy,i,1,meta,F1,24.671016599055406
F1,usctimit_f1_001_005,0-0-2-0,was,easy,for,iy,i,1,meta,F2,101.41761413834053
F1,usctimit_f1_001_005,0-0-2-0,was,easy,for,iy,i,1,meta,F3,167.4035410532914
F1,usctimit_f1_001_005,0-0-2-0,was,easy,for,iy,i,1,nvidia,F1,434.4552989670558
F1,usctimit_f1_001_005,0-0-2-0,was,easy,for,iy,i,1,nvidia,F2,159.23598868750517
F1,usctimit_f1_001_005,0-0-2-0,was,easy,for,iy,i,1,nvidia,F3,95.39351454967432
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,orig_mri,F1,162.27578029999097
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,orig_mri,F2,208.55633272050974
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,orig_mri,F3,413.05357438070706
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,meta,F1,43.55306142703938
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,meta,F2,181.14950963749382
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,meta,F3,252.79282538965705
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,nvidia,F1,42.58136621349484
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,nvidia,F2,184.50224022150252
F1,usctimit_f1_001_005,0-0-15-1,sp,she,is,iy,i,0,nvidia,F3,71.9648335391562
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,orig_mri,F1,82.70329633481877
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,orig_mri,F2,121.24246845561869
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,orig_mri,F3,303.48516106301236
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,meta,F1,71.51441126437591
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,meta,F2,142.83623610542625
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,meta,F3,381.10921197083456
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,nvidia,F1,47.94406890445999
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,nvidia,F2,133.48339799208776
F1,usctimit_f1_001_005,0-0-6-1,sp,jane,may,ey,eɪ,0,nvidia,F3,100.98929074100636
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,orig_mri,F1,56.88745437890487
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,orig_mri,F2,115.87892428406636
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,orig_mri,F3,232.1849824858437
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,meta,F1,38.831918563334206
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,meta,F2,135.2753273337506
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,meta,F3,231.72035129936413
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,nvidia,F1,55.407641947396094
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,nvidia,F2,77.12939831565059
F1,usctimit_f1_001_005,0-0-7-1,jane,may,earn,ey,eɪ,0,nvidia,F3,102.48688435493816
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,orig_mri,F1,99.56978858395489
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,orig_mri,F2,254.02266786821264
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,orig_mri,F3,172.92062931340908
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,meta,F1,80.87647496202806
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,meta,F2,259.0550927157591
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,meta,F3,178.60750146998305
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,nvidia,F1,35.47873047287287
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,nvidia,F2,270.24130633293606
F1,usctimit_f1_001_005,0-0-11-1,money,by,working,ay,aɪ,0,nvidia,F3,266.19676203151755
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,orig_mri,F1,54.184224913625314
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,orig_mri,F2,192.6616817066384
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,orig_mri,F3,572.5515723906917
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,meta,F1,78.60958586767372
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,meta,F2,95.39228931764833
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,meta,F3,557.0383724664187
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,nvidia,F1,95.75800810873385
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,nvidia,F2,260.5705204962633
F1,usctimit_f1_001_005,0-0-20-0,than,i,am,ay,aɪ,0,nvidia,F3,166.65542516869922
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,orig_mri,F1,222.42748548403605
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,orig_mri,F2,424.2190120111788
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,orig_mri,F3,207.72961770488385
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,meta,F1,106.91293406587224
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,meta,F2,425.3136058229782
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,meta,F3,205.1108293843306
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,nvidia,F1,69.37260051467447
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,nvidia,F2,455.0385910776704
F1,usctimit_f1_001_005,0-0-23-2,sp,bright,sp,ay,aɪ,0,nvidia,F3,287.4530968627316
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,orig_mri,F1,195.1391333539666
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,orig_mri,F2,431.9021413600234
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,orig_mri,F3,655.4443252222027
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,meta,F1,231.05487936092268
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,meta,F2,245.44460455620123
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,meta,F3,567.0779168699777
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,nvidia,F1,164.4301222800763
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,nvidia,F2,216.28275117446412
F1,usctimit_f1_001_005,0-0-21-0,i,am,sp,ae,æ,0,nvidia,F3,793.1045985121879
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,orig_mri,F1,56.57043253664558
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,orig_mri,F2,61.76509640959269
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,orig_mri,F3,386.78767596291397
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,meta,F1,93.90475739686298
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,meta,F2,65.7103220868826
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,meta,F3,307.95884924146566
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,nvidia,F1,147.0473891157312
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,nvidia,F2,246.95699573567794
F1,usctimit_f1_001_005,0-0-29-0,the,ocean,sp,ow,oʊ,0,nvidia,F3,775.804937587734
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,orig_mri,F1,69.63777098207105
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,orig_mri,F2,173.79887944430214
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,orig_mri,F3,283.03856981924014
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,meta,F1,49.23651182639908
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,meta,F2,199.30639784393787
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,meta,F3,79.42221037800033
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,nvidia,F1,79.98996539233877
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,nvidia,F2,190.98589570720907
F1,usctimit_f1_011_015,0-0-4-1,as,high,as,ay,aɪ,0,nvidia,F3,167.04424692490753
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,orig_mri,F1,76.01455801699643
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,orig_mri,F2,137.20069947094694
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,orig_mri,F3,132.77387819767964
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,meta,F1,50.90439007409
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,meta,F2,226.32036963001306
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,meta,F3,90.79394848997816
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,nvidia,F1,106.19924925387195
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,nvidia,F2,259.5109542882969
F1,usctimit_f1_011_015,0-0-27-1,of,wire,lay,ay,aɪ,0,nvidia,F3,135.291884868749
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,orig_mri,F1,143.16849338314913
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,orig_mri,F2,98.2281764591425
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,orig_mri,F3,319.8739026651786
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,meta,F1,98.47268840864642
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,meta,F2,172.52790505704297
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,meta,F3,303.2777504864782
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,nvidia,F1,180.47108077169594
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,nvidia,F2,180.8634490111562
F1,usctimit_f1_011_015,0-0-38-1,a,lively,home,ay,aɪ,0,nvidia,F3,88.4355290968554
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,orig_mri,F1,342.4993728444517
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,orig_mri,F2,218.8778416027692
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,orig_mri,F3,424.47434323079983
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,meta,F1,32.54731229411914
F1,usctimit_f1_011_015,0-0-38-4,a,lively,home,iy,i,0,meta,F2,157.57140419686564
